Date,Open,High,Low,Close,Adj Close,Volume
03-12-15,8.811,9.075,8.7945,9.042,7.856369169,320034
04-12-15,8.91,8.943,8.811,8.877,7.713005256,183315
07-12-15,8.9595,9.075,8.943,9.075,7.885042737,239250
08-12-15,9.042,9.075,8.877,8.91,7.741677339,222123
09-12-15,8.9265,8.9595,8.712,8.712,7.569640881,172755
10-12-15,8.58,8.679,8.5305,8.58,7.454949051,216216
11-12-15,8.613,8.712,8.4975,8.4975,7.383267111,179685
14-12-15,8.547,8.58,8.349,8.415,7.311584643,165198
15-12-15,8.4315,8.646,8.4315,8.547,7.426276473,204699
16-12-15,8.415,8.481,8.25,8.349,7.254238992,321948
17-12-15,8.3985,8.5965,8.3655,8.547,7.426276473,176781
18-12-15,8.5305,8.58,8.448,8.547,7.426276473,181071
21-12-15,8.382,8.4645,8.349,8.382,7.282912065,227634
22-12-15,8.514,8.8275,8.514,8.5965,7.46928534,285978
23-12-15,8.5965,8.6625,8.481,8.481,7.368930822,160743
24-12-15,8.547,8.5965,8.3985,8.3985,7.297248354,108900
25-12-15,8.3985,8.481,8.3985,8.4645,7.354594533,65406
28-12-15,8.514,8.613,8.4975,8.5635,7.440613257,86889
29-12-15,8.448,8.448,8.184,8.25,7.168220763,471075
30-12-15,8.25,8.283,8.1345,8.2005,7.125210906,261162
31-12-15,8.25,8.283,8.217,8.25,7.168220763,103323
04-01-16,8.283,8.316,8.085,8.085,7.02485586,177540
05-01-16,8.085,8.151,7.986,8.0025,6.95317392,164076
06-01-16,7.986,8.0025,7.26,7.491,6.50874444,608091
07-01-16,7.4415,7.458,6.765,6.798,5.906613273,699534
08-01-16,6.666,7.161,6.666,7.0455,6.121660644,502689
11-01-16,6.897,6.9465,6.7155,6.897,5.992631502,359172
12-01-16,6.93,6.9795,6.699,6.8145,5.920950057,299805
13-01-16,6.93,6.9465,6.732,6.8145,5.920950057,336633
14-01-16,6.6495,6.864,6.4515,6.864,5.963959452,467577
15-01-16,6.93,6.996,6.6165,6.765,5.8779402,357621
18-01-16,6.633,6.9795,6.6,6.93,6.021305103,246147
19-01-16,6.93,7.3095,6.897,7.1445,6.207679368,339108
20-01-16,7.1115,7.1115,6.93,6.93,6.021305103,232287
21-01-16,7.029,7.062,6.9135,6.93,6.021305103,167970
22-01-16,7.0455,7.1115,6.9795,6.996,6.078650754,141702
25-01-16,7.128,7.161,7.062,7.0785,6.150333222,122562
26-01-16,6.963,6.996,6.8475,6.897,5.992631502,180345
27-01-16,6.963,7.0125,6.93,6.963,6.049978176,71544
28-01-16,6.864,6.9795,6.8475,6.864,5.963959452,238425
29-01-16,6.8145,7.095,6.6495,7.062,6.135996933,436128
30-01-16,6.8145,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
01-02-16,7.1445,7.1445,6.9135,6.93,6.021305103,281490
02-02-16,6.402,7.062,6.3855,6.996,6.078650754,649440
03-02-16,6.8145,6.8805,6.6,6.6,5.73457632,500247
